participant value inputMethod sliderType time
Juliet  411 trackpad rangeSlider 4186
Juliet  2812 trackpad rangeSlider 8238
Juliet  1033 trackpad rangeSlider 9043
Juliet  1835 trackpad rangeSlider 8861
Juliet  1421 trackpad rangeSlider 12126
Juliet  964 trackpad rangeSlider 9536
Juliet  2476 trackpad rangeSlider 7080
Bex 3204 mouse rangeSlider 10552
Bex 411 mouse rangeSlider 8261
Bex 2812 mouse rangeSlider 16884
Bex 1421 mouse rangeSlider 10041
Bex 2476 mouse rangeSlider 16592
Bex 964 mouse rangeSlider 11167
Bex 1033 mouse rangeSlider 12416
Bex 3821 mouse rangeSlider 9152
Bex 2870 mouse rangeSlider 10840
Bex 1835 mouse rangeSlider 8016
Bex 3204 trackpad rangeSlider 18316
Bex 411 trackpad rangeSlider 24266
Bex 2812 trackpad rangeSlider 8440
Bex 1421 trackpad rangeSlider 10904
Bex 2476 trackpad rangeSlider 12089
Bex 964 trackpad rangeSlider 8353
Bex 1033 trackpad rangeSlider 7900
Bex 3821 trackpad rangeSlider 12587
Bex 2870 trackpad rangeSlider 13554
Bex 1835 trackpad rangeSlider 7869
Bex 3204 trackpad FinerSlider 11073
Bex 411 trackpad FinerSlider 8246
Bex 2812 trackpad FinerSlider 10447
Bex 1421 trackpad FinerSlider 20612
Bex 2476 trackpad FinerSlider 15898
Bex 964 trackpad FinerSlider 16786
Bex 1033 trackpad FinerSlider 11511
Bex 3821 trackpad FinerSlider 15864
Bex 2870 trackpad FinerSlider 7981
Bex 1835 trackpad FinerSlider 9011
Bex 3204 mouse FinerSlider 9745
Bex 411 mouse FinerSlider 14920
Bex 2812 mouse FinerSlider 10608
Bex 1421 mouse FinerSlider 11960
Bex 2476 mouse FinerSlider 10144
Bex 964 mouse FinerSlider 11880
Bex 1033 mouse FinerSlider 9584
Bex 3821 mouse FinerSlider 9624
Bex 2870 mouse FinerSlider 10509
Bex 1835 mouse FinerSlider 17810
Hels  1033 trackpad rangeSlider 38222
Hels  3204 trackpad rangeSlider 21020
Hels  2476 trackpad rangeSlider 30674
Hels  2812 trackpad rangeSlider 25173
Hels  1421 trackpad rangeSlider 16138
Hels  411 trackpad rangeSlider 23533
Hels  2870 trackpad rangeSlider 15572
Hels  964 trackpad rangeSlider 5815
Hels  3821 trackpad rangeSlider 9923
Hels  1033 mouse FinerSlider 12543
Hels  3204 mouse FinerSlider 11831
Hels  2476 mouse FinerSlider 12119
Hels  1835 mouse FinerSlider 16039
Hels  2812 mouse FinerSlider 12247
Hels  1421 mouse FinerSlider 14039
Hels  411 mouse FinerSlider 12367
Hels  2870 mouse FinerSlider 8359
Hels  964 mouse FinerSlider 10183
Hels  3821 mouse FinerSlider 25838
Hels  1033 mouse rangeSlider 9543
Hels  3204 mouse rangeSlider 19487
Hels  2476 mouse rangeSlider 23061
Hels  1835 mouse rangeSlider 14618
Hels  2812 mouse rangeSlider 27030
Hels  1421 mouse rangeSlider 13053
Hels  411 mouse rangeSlider 11063
Hels  2870 mouse rangeSlider 8631
Hels  964 mouse rangeSlider 11112
Hels  3821 mouse rangeSlider 17965
Hels  1033 trackpad FinerSlider 10566
Hels  3204 trackpad FinerSlider 11203
Hels  2476 trackpad FinerSlider 9586
Hels  1835 trackpad FinerSlider 9702
Hels  2812 trackpad FinerSlider 11661
Hels  1421 trackpad FinerSlider 17393
Hels  411 trackpad FinerSlider 13923
Hels  2870 trackpad FinerSlider 14126
Hels  964 trackpad FinerSlider 30189
Hels  3821 trackpad FinerSlider 22352
